"Age","LoanAmount100k","CreditScore","MonthsEmployed","NumCreditLines","InterestRate","LoanTerm","Education","EmploymentType","MaritalStatus","HasCoSigner","Default","Income100k"
31,0.28493,300,24,3,10.83,60,"High School","Part-time","Divorced","Yes",0,0.88812
47,1.56997,589,112,3,10.68,60,"PhD","Self-employed","Single","No",0,0.25539
29,2.30668,314,36,4,23.21,48,"High School","Full-time","Divorced","No",1,0.78489
38,2.17929,434,60,2,21.19,12,"High School","Self-employed","Single","No",0,0.97822
35,0.195,751,100,3,6.32,48,"High School","Self-employed","Single","No",0,0.33781
67,0.37632,486,87,4,5.26,12,"PhD","Part-time","Married","No",0,1.23094
33,0.576,403,37,2,7.65,48,"Bachelor's","Full-time","Divorced","No",0,1.21482
18,1.4739,344,61,1,6.21,36,"High School","Unemployed","Married","Yes",1,0.61214
30,0.34709,644,91,1,21,36,"PhD","Self-employed","Married","Yes",0,0.63509
22,1.84897,469,61,1,8.23,48,"Master's","Unemployed","Married","No",0,1.2474
21,0.84391,831,108,3,19.36,48,"Bachelor's","Full-time","Single","No",0,0.31386
67,0.94955,347,52,1,4.56,12,"Master's","Self-employed","Single","Yes",0,0.17765
28,1.81969,584,5,3,7.37,12,"High School","Full-time","Divorced","Yes",0,0.77259
20,1.6366,505,49,2,13.88,24,"Master's","Self-employed","Single","Yes",1,0.48534
31,1.13293,419,115,1,24.58,36,"PhD","Part-time","Divorced","Yes",0,0.64451
34,1.27555,565,52,2,9.01,12,"Master's","Unemployed","Married","No",0,0.38314
18,0.30636,564,27,2,2.52,24,"Bachelor's","Unemployed","Single","Yes",0,1.0271
33,2.11288,727,94,3,22.51,36,"Master's","Full-time","Married","Yes",0,0.74255
45,1.70771,543,58,1,18.27,36,"Bachelor's","Full-time","Married","Yes",0,0.60001
36,0.29116,497,0,1,24,12,"High School","Unemployed","Divorced","No",0,1.08834
63,1.21809,785,42,2,11.23,36,"PhD","Part-time","Divorced","No",0,0.33791
62,1.66185,673,23,2,9.69,36,"Master's","Self-employed","Divorced","Yes",0,1.46115
67,0.82478,720,81,4,20.18,48,"Master's","Full-time","Divorced","No",0,0.15643
57,1.19894,339,61,1,7.6,12,"PhD","Self-employed","Divorced","No",0,0.48416
36,1.4998,398,61,4,2.38,60,"Bachelor's","Self-employed","Divorced","Yes",1,0.27759
65,0.11876,332,41,2,22.91,48,"High School","Self-employed","Married","Yes",0,0.74237
47,0.69878,449,20,2,11.18,36,"Master's","Unemployed","Divorced","No",1,1.0348
28,0.58632,636,37,1,19.42,48,"Bachelor's","Unemployed","Single","No",0,0.58851
23,1.97698,513,61,1,22.3,24,"High School","Part-time","Divorced","No",0,1.34413
48,1.63715,551,45,3,22.91,48,"High School","Self-employed","Divorced","No",0,0.75825
34,1.17688,765,67,2,21.73,36,"Bachelor's","Full-time","Divorced","No",0,0.52472
21,0.58183,758,100,1,11.93,36,"High School","Part-time","Single","No",0,0.43524
39,2.02163,606,27,2,12.17,60,"Bachelor's","Full-time","Divorced","Yes",0,1.14518
51,1.7005,309,88,3,23.71,12,"Bachelor's","Self-employed","Single","Yes",0,1.49145
23,0.57285,581,18,2,7.46,24,"Master's","Full-time","Married","No",0,0.82309
68,2.09346,464,96,4,19.85,48,"Bachelor's","Self-employed","Single","No",0,0.39184
58,0.39038,725,103,1,22.45,12,"Bachelor's","Part-time","Divorced","Yes",0,0.25987
41,2.34028,687,105,1,8.85,12,"Master's","Part-time","Single","No",0,0.48628
53,1.03174,597,2,1,7.33,60,"High School","Unemployed","Married","No",0,0.31851
54,1.0425,831,74,2,4.9,48,"Master's","Part-time","Married","Yes",0,0.73576
24,2.29136,849,65,4,8.06,36,"High School","Unemployed","Single","No",1,0.91
53,1.01492,847,0,2,10.49,48,"PhD","Unemployed","Married","Yes",0,0.69502
64,1.71432,553,16,4,5.74,12,"Bachelor's","Part-time","Married","No",0,1.43763
49,0.67737,829,42,3,2.94,48,"High School","Part-time","Married","No",0,1.44767
57,0.47227,481,52,3,7.42,48,"PhD","Full-time","Married","Yes",0,0.40532
63,0.20456,712,85,3,6.71,48,"Master's","Unemployed","Divorced","Yes",0,1.11251
58,0.29826,809,62,1,18.38,12,"High School","Self-employed","Single","Yes",0,0.77041
39,2.33313,544,13,4,15.15,24,"Master's","Full-time","Single","Yes",1,0.87832
44,2.11551,318,73,1,15.75,36,"High School","Part-time","Married","Yes",1,0.36508
42,0.28197,315,36,3,24.32,12,"PhD","Self-employed","Married","No",1,0.44988
63,0.89604,338,48,3,14.56,36,"PhD","Full-time","Single","Yes",0,0.4559
65,1.54382,370,43,2,10.58,24,"High School","Unemployed","Single","No",0,0.95565
27,1.4919,560,50,2,24.34,12,"PhD","Part-time","Divorced","Yes",0,1.38475
35,0.2858,508,81,2,16.18,60,"Master's","Part-time","Married","Yes",0,0.86448
27,0.7561,756,85,2,6.39,36,"High School","Unemployed","Divorced","Yes",0,1.14491
60,1.76459,775,60,2,6.02,24,"Master's","Self-employed","Single","Yes",0,0.81745
49,1.19489,780,35,3,2.43,60,"High School","Unemployed","Divorced","Yes",0,1.42866
69,2.33499,600,15,3,12.94,36,"High School","Part-time","Married","No",0,1.23271
62,0.91234,661,76,4,17.74,60,"Master's","Self-employed","Divorced","No",0,0.89267
53,1.05638,470,2,4,10.16,48,"Master's","Full-time","Divorced","Yes",0,1.49108
58,2.38856,777,20,2,22.16,24,"Master's","Unemployed","Single","Yes",0,0.91415
64,2.11599,514,46,4,18.49,36,"High School","Full-time","Divorced","Yes",0,1.19198
58,0.74531,569,85,1,7.29,36,"Bachelor's","Unemployed","Divorced","No",0,0.41083
51,2.19176,713,29,1,13.81,24,"Bachelor's","Part-time","Divorced","No",0,0.44973
58,0.37768,731,97,4,3.87,36,"Master's","Self-employed","Divorced","No",0,0.4337
42,1.09026,751,49,1,13.53,48,"PhD","Unemployed","Married","No",0,0.78589
18,1.0625,381,16,1,19.24,12,"Bachelor's","Self-employed","Married","Yes",1,1.1
38,1.05841,493,58,1,22.81,48,"PhD","Unemployed","Single","No",0,1.27163
23,1.11131,810,56,2,16.84,24,"PhD","Unemployed","Divorced","Yes",1,1.1347
60,2.34354,495,58,2,5.68,24,"High School","Self-employed","Single","Yes",0,0.70884
23,1.81153,319,12,4,9.15,24,"PhD","Self-employed","Single","No",1,0.36556
56,0.57915,626,82,4,3.49,60,"Master's","Self-employed","Divorced","Yes",0,0.2412
50,0.75076,375,32,2,3.13,24,"High School","Full-time","Single","No",0,1.25462
59,1.77499,713,88,4,3.73,60,"High School","Unemployed","Single","No",0,0.23188
65,2.12914,702,67,3,2.16,60,"Master's","Self-employed","Single","Yes",0,1.02019
58,1.38681,782,72,3,11.94,24,"PhD","Part-time","Married","Yes",0,1.26808
52,0.98451,806,3,4,18.58,24,"Master's","Part-time","Married","Yes",0,0.94596
